subject,group,window_size,window_dur_s,strategy,attend_side,difficulty,score,r_att,r_ign,delta_r,correct
sub-021,NH,1,10,concatenate,attendright,20.0,100.0,0.17802872196231298,0.16266241941001228,0.015366302552300704,True
sub-021,NH,1,10,concatenate,attendright,20.0,100.0,0.16337020023761928,0.14273388555636862,0.020636314681250656,True
sub-021,NH,1,10,concatenate,attendright,20.0,100.0,0.11871698962703105,0.07926949302169504,0.039447496605336,True
sub-021,NH,1,10,concatenate,attendright,20.0,100.0,0.23992871210990513,0.19928184460980472,0.04064686750010041,True
sub-021,NH,1,10,concatenate,attendleft,10.0,100.0,0.09829501668860904,0.11498863579687796,-0.016693619108268914,False
sub-021,NH,1,10,concatenate,attendleft,10.0,100.0,0.18286783374356064,0.07595928784874306,0.10690854589481757,True
sub-021,NH,1,10,concatenate,attendleft,10.0,100.0,0.11432491552077237,0.02544314928434139,0.08888176623643099,True
sub-021,NH,1,10,concatenate,attendleft,10.0,100.0,0.2883437863709953,0.01530040434508945,0.27304338202590583,True
sub-021,NH,1,10,concatenate,attendleft,10.0,100.0,0.026877617253261658,0.22878268782632752,-0.20190507057306586,False
sub-021,NH,1,10,concatenate,attendright,27.0,100.0,0.168325031101976,0.11516760640490252,0.05315742469707348,True
sub-021,NH,1,10,concatenate,attendright,27.0,100.0,0.22142806598962264,0.010297418970479878,0.21113064701914278,True
sub-021,NH,1,10,concatenate,attendright,27.0,100.0,0.32564638303389987,0.16104919074898286,0.164597192284917,True
sub-021,NH,1,10,concatenate,attendright,27.0,100.0,0.11356203838186067,0.15257346726782925,-0.03901142888596858,False
sub-021,NH,1,10,concatenate,attendleft,17.0,100.0,0.1562443817819236,0.05863255774524367,0.09761182403667992,True
sub-021,NH,1,10,concatenate,attendleft,17.0,100.0,0.17995797104269584,0.08447392415607521,0.09548404688662063,True
sub-021,NH,1,10,concatenate,attendleft,17.0,100.0,0.03959331777546536,0.06365927707824089,-0.024065959302775525,False
sub-021,NH,1,10,concatenate,attendleft,17.0,100.0,0.18175390568409167,0.024772788169845655,0.156981117514246,True
sub-021,NH,1,10,concatenate,attendright,4.0,100.0,0.10107225809116652,0.00944890903886781,0.09162334905229871,True
sub-021,NH,1,10,concatenate,attendright,4.0,100.0,0.26984641064975007,0.2332834637560412,0.03656294689370887,True
sub-021,NH,1,10,concatenate,attendright,4.0,100.0,0.09727261186186098,0.1383961131602545,-0.04112350129839351,False
sub-021,NH,1,10,concatenate,attendright,4.0,100.0,0.152814574405154,0.1056172951921369,0.0471972792130171,True
sub-021,NH,1,10,concatenate,attendleft,5.0,100.0,0.05080934752876494,0.30314726361807637,-0.25233791608931144,False
sub-021,NH,1,10,concatenate,attendleft,5.0,100.0,0.15439726182368846,0.12684072645036007,0.02755653537332839,True
sub-021,NH,1,10,concatenate,attendleft,5.0,100.0,0.043569474154835516,0.02754406572923671,0.016025408425598808,True
sub-021,NH,1,10,concatenate,attendleft,5.0,100.0,0.0012649577551958919,0.20345743203512776,-0.20219247427993187,False
sub-021,NH,1,10,concatenate,attendleft,5.0,100.0,0.1078748609836642,0.10930296487184289,-0.0014281038881786973,False
sub-021,NH,1,10,concatenate,attendleft,5.0,100.0,0.006894579521317943,0.10434018936012454,-0.0974456098388066,False
sub-021,NH,1,10,concatenate,attendleft,5.0,100.0,0.12524144002125592,0.13883180607074017,-0.013590366049484243,False
sub-021,NH,1,10,concatenate,attendleft,5.0,100.0,0.10734100303234889,0.0034004335864563522,0.10394056944589254,True
sub-021,NH,1,10,concatenate,attendleft,5.0,100.0,0.24890319565856514,0.049391175898867795,0.19951201975969735,True
sub-021,NH,1,10,concatenate,attendright,2.0,100.0,0.002906622713185408,0.08530782124602677,-0.08240119853284136,False
sub-021,NH,1,10,concatenate,attendright,2.0,100.0,0.003897789946948337,0.04663800666267418,-0.042740216715725844,False
sub-021,NH,1,10,concatenate,attendright,2.0,100.0,0.0960258801353191,0.052200936733334445,0.04382494340198465,True
sub-021,NH,1,10,concatenate,attendright,2.0,100.0,0.2032319043128217,0.06026925813406198,0.14296264617875973,True
sub-021,NH,1,10,concatenate,attendright,17.0,100.0,0.3814600773349747,0.03004676387992639,0.35141331345504834,True
sub-021,NH,1,10,concatenate,attendright,17.0,100.0,0.28608187510651145,0.10139932641268874,0.18468254869382272,True
sub-021,NH,1,10,concatenate,attendright,17.0,100.0,0.024387065033637495,0.038612249772977406,-0.01422518473933991,False
sub-021,NH,1,10,concatenate,attendright,17.0,100.0,0.08065115761299164,0.00352462621976742,0.07712653139322423,True
sub-021,NH,1,10,concatenate,attendleft,19.0,75.0,0.0656889258714279,0.057506334267287164,0.008182591604140733,True
sub-021,NH,1,10,concatenate,attendleft,19.0,75.0,0.2543433383528558,0.023827194574434316,0.23051614377842145,True
sub-021,NH,1,10,concatenate,attendleft,19.0,75.0,0.3348009337108793,0.012415213279519643,0.32238572043135966,True
sub-021,NH,1,10,concatenate,attendleft,19.0,75.0,0.19250470372009054,0.3099769414542521,-0.11747223773416154,False
sub-021,NH,1,10,concatenate,attendright,14.0,100.0,0.16744795568835,0.14764855853133974,0.019799397157010262,True
sub-021,NH,1,10,concatenate,attendright,14.0,100.0,0.2259311558715027,0.21178192492626655,0.014149230945236152,True
sub-021,NH,1,10,concatenate,attendright,14.0,100.0,0.32050906156448417,0.06854365856655265,0.2519654029979315,True
sub-021,NH,1,10,concatenate,attendright,14.0,100.0,0.3599787913337919,0.024734064278965455,0.33524472705482644,True
sub-021,NH,1,10,concatenate,attendright,14.0,100.0,0.3146232057607695,0.052967109734929664,0.26165609602583983,True
sub-021,NH,1,10,concatenate,attendright,22.0,100.0,0.2463998317170927,0.02950181585235159,0.2168980158647411,True
sub-021,NH,1,10,concatenate,attendright,22.0,100.0,0.199288425189132,0.1121556728352852,0.0871327523538468,True
sub-021,NH,1,10,concatenate,attendright,22.0,100.0,0.09830555242344054,0.06782600853711669,0.030479543886323845,True
sub-021,NH,1,10,concatenate,attendright,22.0,100.0,0.29781759490285514,0.27441089947998504,0.023406695422870105,True
sub-021,NH,1,10,concatenate,attendleft,9.0,100.0,0.08454752825599565,0.013807317628827847,0.0707402106271678,True
sub-021,NH,1,10,concatenate,attendleft,9.0,100.0,0.056523064013051384,0.1543813775117116,-0.09785831349866023,False
sub-021,NH,1,10,concatenate,attendleft,9.0,100.0,0.03448049013942829,0.11960815112989896,-0.08512766099047067,False
sub-021,NH,1,10,concatenate,attendleft,9.0,100.0,0.226864683845682,0.14462341868114376,0.08224126516453825,True
sub-021,NH,1,10,concatenate,attendleft,4.0,100.0,0.04554980558255863,0.26913212374468254,-0.2235823181621239,False
sub-021,NH,1,10,concatenate,attendleft,4.0,100.0,0.25646951866252193,0.08556504375263965,0.17090447490988228,True
sub-021,NH,1,10,concatenate,attendleft,4.0,100.0,0.16123851786832663,0.14184275044881403,0.0193957674195126,True
