subject,group,window_size,window_dur_s,strategy,attend_side,difficulty,score,r_att,r_ign,delta_r,correct
sub-021,NH,16,800,concatenate,,,,0.07082905557460903,0.03241196601141008,0.03841708956319895,True
sub-021,NH,16,800,concatenate,,,,0.09929963226281069,0.0024489155835074375,0.09685071667930326,True
sub-022,NH,16,800,concatenate,,,,0.05396114033773848,0.0011281362341512646,0.05283300410358722,True
sub-022,NH,16,800,concatenate,,,,0.08133723942912101,0.005951572757052879,0.07538566667206813,True
sub-023,NH,16,800,concatenate,,,,0.059575210542087094,0.015623364109521441,0.04395184643256565,True
sub-023,NH,16,800,concatenate,,,,0.05234070887427893,0.0044605125519750185,0.047880196322303906,True
sub-024,NH,16,800,concatenate,,,,0.10308173028008862,0.00970534038482042,0.0933763898952682,True
sub-025,NH,16,800,concatenate,,,,0.07871253463902393,0.00021974084990930782,0.07849279378911463,True
sub-025,NH,16,800,concatenate,,,,0.08740621480078414,0.013314773861203185,0.07409144093958096,True
sub-026,NH,16,800,concatenate,,,,0.05871380845283128,0.0303746138990938,0.028339194553737478,True
sub-026,NH,16,800,concatenate,,,,0.07070616872566385,0.02973641714722715,0.0409697515784367,True
sub-027,NH,16,800,concatenate,,,,0.06219082139392574,0.00888200747500713,0.05330881391891861,True
sub-027,NH,16,800,concatenate,,,,0.06020895407753427,0.022350309197049865,0.037858644880484404,True
sub-028,NH,16,800,concatenate,,,,0.005172511574749324,0.020145733379273386,-0.014973221804524062,False
sub-028,NH,16,800,concatenate,,,,0.0022508257448858376,0.003709031128096128,-0.0014582053832102905,False
sub-029,NH,16,800,concatenate,,,,0.03006261932940381,0.007050893271881279,0.02301172605752253,True
sub-029,NH,16,800,concatenate,,,,0.064584469145183,0.0016874781449291842,0.06289699100025381,True
sub-030,NH,16,800,concatenate,,,,0.04461992690701115,0.043689838775625336,0.0009300881313858145,True
sub-030,NH,16,800,concatenate,,,,0.032962890707556515,0.033370396196655855,-0.00040750548909933987,False
sub-031,NH,16,800,concatenate,,,,0.07004515497442423,0.048880586767859155,0.02116456820656508,True
sub-031,NH,16,800,concatenate,,,,0.051317950451463916,0.01722026396723288,0.03409768648423103,True
sub-032,NH,16,800,concatenate,,,,0.09201728510219785,0.007585713753085754,0.0844315713491121,True
sub-032,NH,16,800,concatenate,,,,0.0750155645979642,0.05446675379201696,0.02054881080594724,True
sub-033,NH,16,800,concatenate,,,,0.058056385285929726,0.0055666824643640445,0.05248970282156568,True
sub-033,NH,16,800,concatenate,,,,0.0394970861467311,0.04009230759470254,-0.0005952214479714377,False
sub-034,NH,16,800,concatenate,,,,0.044647961440307665,0.010127768926245475,0.03452019251406219,True
sub-034,NH,16,800,concatenate,,,,0.11786826176688571,0.006168430043074412,0.1116998317238113,True
sub-035,NH,16,800,concatenate,,,,0.018699877537341262,0.005636574710105384,0.013063302827235878,True
sub-035,NH,16,800,concatenate,,,,0.04113175872260737,0.0011010063589720076,0.04003075236363536,True
sub-036,NH,16,800,concatenate,,,,0.006311925668215899,0.02750317123213452,-0.02119124556391862,False
sub-036,NH,16,800,concatenate,,,,0.06373733050571738,0.00783547269942424,0.05590185780629314,True
sub-037,NH,16,800,concatenate,,,,0.10046624786963719,0.024749781826151885,0.07571646604348531,True
sub-037,NH,16,800,concatenate,,,,0.10839283218843183,0.0300706452942941,0.07832218689413774,True
sub-038,NH,16,800,concatenate,,,,0.0938124640589643,0.04237549631090448,0.05143696774805982,True
sub-038,NH,16,800,concatenate,,,,0.050475577761091225,0.007961729500271637,0.04251384826081959,True
sub-039,NH,16,800,concatenate,,,,0.00220900073187237,0.044024135374741216,-0.041815134642868845,False
sub-039,NH,16,800,concatenate,,,,0.0015017591312058288,0.016140783401267785,-0.014639024270061956,False
sub-040,NH,16,800,concatenate,,,,0.14425577378211643,0.02573244729048521,0.11852332649163122,True
sub-040,NH,16,800,concatenate,,,,0.13498698338444154,0.01314847859557164,0.1218385047888699,True
sub-043,NH,16,800,concatenate,,,,0.1177885975531776,0.029853248360156338,0.08793534919302126,True
sub-043,NH,16,800,concatenate,,,,0.12489535266429815,0.04308235439203565,0.08181299827226249,True
sub-044,NH,16,800,concatenate,,,,0.008719120315782666,0.04064773118802685,-0.03192861087224418,False
sub-044,NH,16,800,concatenate,,,,0.011050193907151323,0.014692686508526606,-0.0036424926013752836,False
