subject,group,window_size,window_dur_s,strategy,attend_side,difficulty,score,r_att,r_ign,delta_r,correct
sub-001,HI,8,400,concatenate,,,,0.10184636404846256,0.019325961057081283,0.08252040299138128,True
sub-001,HI,8,400,concatenate,,,,0.07945305971056044,0.030004495909359573,0.049448563801200864,True
sub-001,HI,8,400,concatenate,,,,0.04502603019685855,0.006552598851445345,0.03847343134541321,True
sub-001,HI,8,400,concatenate,,,,0.07961449592527287,0.007232257040717372,0.0723822388845555,True
sub-002,HI,8,400,concatenate,,,,0.19060905039405626,0.03169137761623732,0.15891767277781893,True
sub-002,HI,8,400,concatenate,,,,0.0875178164999377,0.04122254675278512,0.04629526974715258,True
sub-002,HI,8,400,concatenate,,,,0.1655528884411066,0.014517617973981144,0.15103527046712545,True
sub-002,HI,8,400,concatenate,,,,0.09664002015818515,0.0056940333665906895,0.09094598679159446,True
sub-003,HI,8,400,concatenate,,,,0.04404037876925906,0.014361444430448466,0.02967893433881059,True
sub-003,HI,8,400,concatenate,,,,0.008459719710982506,0.03193277610925574,-0.023473056398273233,False
sub-003,HI,8,400,concatenate,,,,3.459064511922244e-05,0.03974618522593323,-0.039711594580814004,False
sub-003,HI,8,400,concatenate,,,,0.01767542270159206,0.01615814290511827,0.0015172797964737895,True
sub-004,HI,8,400,concatenate,,,,0.04551991548960996,0.018335426559982018,0.02718448892962794,True
sub-004,HI,8,400,concatenate,,,,0.08979471590324449,0.011978060901549516,0.07781665500169498,True
sub-004,HI,8,400,concatenate,,,,0.08955221442008675,0.028479182697720692,0.061073031722366056,True
sub-004,HI,8,400,concatenate,,,,0.08469879022919509,0.05191523545524439,0.0327835547739507,True
sub-005,HI,8,400,concatenate,,,,0.050201455116822995,0.016992124698247763,0.03320933041857523,True
sub-005,HI,8,400,concatenate,,,,0.09891652100601148,0.001366022571120006,0.09755049843489147,True
sub-005,HI,8,400,concatenate,,,,0.05014860386349905,0.0390146990821456,0.011133904781353447,True
sub-005,HI,8,400,concatenate,,,,0.08132120829497448,0.018161224113933512,0.06315998418104096,True
sub-006,HI,8,400,concatenate,,,,0.06591302797475612,0.0022713462725820577,0.06364168170217406,True
sub-006,HI,8,400,concatenate,,,,0.08991147536673215,0.01497601474309048,0.07493546062364168,True
sub-006,HI,8,400,concatenate,,,,0.022728830405578857,0.02231985732165604,0.0004089730839228166,True
sub-006,HI,8,400,concatenate,,,,0.0575074193932819,0.03759772546764587,0.019909693925636025,True
sub-007,HI,8,400,concatenate,,,,0.02800753178958141,0.02026529227870481,0.007742239510876599,True
sub-007,HI,8,400,concatenate,,,,0.07416491600272483,0.02843368820707372,0.045731227795651114,True
sub-007,HI,8,400,concatenate,,,,0.00926898263911514,0.014743674323591936,-0.005474691684476797,False
sub-007,HI,8,400,concatenate,,,,0.03894757608884494,0.002775341058574049,0.036172235030270894,True
sub-008,HI,8,400,concatenate,,,,0.03140475014341154,0.0648308454543605,-0.033426095310948964,False
sub-008,HI,8,400,concatenate,,,,0.021823193334416076,0.037653126134537696,-0.01582993280012162,False
sub-008,HI,8,400,concatenate,,,,0.0742628853173294,0.00239622488547622,0.07186666043185318,True
sub-008,HI,8,400,concatenate,,,,0.009559562547590151,0.013659392253656099,-0.004099829706065948,False
sub-009,HI,8,400,concatenate,,,,0.09921080902428332,0.016139697738593865,0.08307111128568946,True
sub-009,HI,8,400,concatenate,,,,0.10855948146209296,0.01849893487476732,0.09006054658732564,True
sub-009,HI,8,400,concatenate,,,,0.12879333202232002,0.0019134548667463383,0.12687987715557367,True
sub-009,HI,8,400,concatenate,,,,0.04684408692321532,0.013863098411555995,0.03298098851165932,True
sub-010,HI,8,400,concatenate,,,,0.06926791598658298,0.004022918698085752,0.06524499728849723,True
sub-010,HI,8,400,concatenate,,,,0.10288233240445836,0.0037073737831642174,0.09917495862129415,True
sub-010,HI,8,400,concatenate,,,,0.10752460103503621,0.018547372836802866,0.08897722819823334,True
sub-010,HI,8,400,concatenate,,,,0.08011392279447938,0.02957618394355668,0.05053773885092269,True
sub-011,HI,8,400,concatenate,,,,0.03575317399540886,0.07471434762441936,-0.038961173629010505,False
sub-011,HI,8,400,concatenate,,,,0.08424829796552236,0.06056223927204339,0.023686058693478965,True
sub-011,HI,8,400,concatenate,,,,0.04073481713871499,0.04938099701943129,-0.008646179880716302,False
sub-011,HI,8,400,concatenate,,,,0.07559670564830825,0.06470824862809003,0.01088845702021822,True
sub-012,HI,8,400,concatenate,,,,0.05256688870321809,0.10319787584054116,-0.05063098713732307,False
sub-012,HI,8,400,concatenate,,,,0.055688499609654725,0.046445510910208036,0.009242988699446689,True
sub-012,HI,8,400,concatenate,,,,0.03930898694898753,0.003157047581510734,0.0361519393674768,True
sub-012,HI,8,400,concatenate,,,,0.08742516218222271,0.0008030159451341547,0.08662214623708855,True
sub-013,HI,8,400,concatenate,,,,0.023979518397990042,0.03553821931578325,-0.011558700917793208,False
sub-013,HI,8,400,concatenate,,,,0.07563370514351898,0.006021359884565636,0.06961234525895335,True
sub-013,HI,8,400,concatenate,,,,0.05624652067425437,0.03254755940966007,0.023698961264594295,True
sub-013,HI,8,400,concatenate,,,,0.05303962669306975,0.006299051567516305,0.04674057512555344,True
sub-014,HI,8,400,concatenate,,,,0.031564753791097626,0.03664399791337534,-0.005079244122277712,False
sub-014,HI,8,400,concatenate,,,,0.040007579468415926,0.002341586556870512,0.03766599291154541,True
sub-014,HI,8,400,concatenate,,,,0.052908113307408425,0.02799771187667432,0.024910401430734103,True
sub-014,HI,8,400,concatenate,,,,0.07295547715208964,0.0035008166628602215,0.06945466048922942,True
sub-015,HI,8,400,concatenate,,,,0.038297286027866397,0.03163436042356146,0.0066629256043049395,True
sub-015,HI,8,400,concatenate,,,,0.07555892284615164,0.0016933725347642234,0.07386555031138742,True
sub-015,HI,8,400,concatenate,,,,0.046667933669409106,0.012793373992231273,0.03387455967717783,True
sub-015,HI,8,400,concatenate,,,,0.04336507400373801,0.0028853498062639217,0.040479724197474094,True
sub-016,HI,8,400,concatenate,,,,0.016515185618949695,0.06428942102131742,-0.04777423540236772,False
sub-016,HI,8,400,concatenate,,,,0.0486284137400829,0.09985896032900367,-0.05123054658892077,False
sub-016,HI,8,400,concatenate,,,,0.1177344091045586,0.07293824625619257,0.04479616284836603,True
sub-016,HI,8,400,concatenate,,,,0.04731198691531234,0.022496966577442754,0.024815020337869587,True
sub-017,HI,8,400,concatenate,,,,0.061562021517834506,0.013684060963723819,0.047877960554110685,True
sub-017,HI,8,400,concatenate,,,,0.060714314152921244,0.002087441701272669,0.058626872451648576,True
sub-017,HI,8,400,concatenate,,,,0.028479106611474073,0.0038985873202826275,0.024580519291191445,True
sub-017,HI,8,400,concatenate,,,,0.031534407891348926,0.008511566730050341,0.023022841161298584,True
sub-018,HI,8,400,concatenate,,,,0.04313954376504534,0.03495948828281544,0.0081800554822299,True
sub-018,HI,8,400,concatenate,,,,0.06768719299308555,0.008493138909202476,0.05919405408388308,True
sub-018,HI,8,400,concatenate,,,,0.1052070872984663,0.027219667339958654,0.07798741995850764,True
sub-018,HI,8,400,concatenate,,,,0.08541306567193477,0.011927485740527984,0.07348557993140678,True
sub-019,HI,8,400,concatenate,,,,0.002194538385458549,0.0018317857650335789,0.0003627526204249701,True
sub-019,HI,8,400,concatenate,,,,0.01546369263280656,0.06196499262427231,-0.04650129999146575,False
sub-019,HI,8,400,concatenate,,,,0.05745032762267485,0.032681717466430865,0.024768610156243986,True
sub-019,HI,8,400,concatenate,,,,0.033640247314452816,5.569254693883598e-05,0.03358455476751398,True
sub-020,HI,8,400,concatenate,,,,0.05664872710131508,0.06734165332420361,-0.010692926222888532,False
sub-020,HI,8,400,concatenate,,,,0.10079104296814655,0.06250491919134618,0.038286123776800365,True
sub-020,HI,8,400,concatenate,,,,0.0620387932167769,0.07456134959908306,-0.012522556382306163,False
sub-020,HI,8,400,concatenate,,,,0.11098041184389404,0.053099494924129034,0.057880916919765005,True
sub-041,HI,8,400,concatenate,,,,0.15088948134572808,0.042555982078267676,0.1083334992674604,True
sub-041,HI,8,400,concatenate,,,,0.15907125946886405,0.01656725978340319,0.14250399968546085,True
sub-041,HI,8,400,concatenate,,,,0.14887615737399432,0.07391669690806675,0.07495946046592757,True
sub-041,HI,8,400,concatenate,,,,0.17044528934138073,0.020336636402517136,0.1501086529388636,True
sub-042,HI,8,400,concatenate,,,,0.07260059128384728,0.04777209481346497,0.024828496470382315,True
sub-042,HI,8,400,concatenate,,,,0.06612487391741924,0.029829056307315888,0.03629581761010335,True
sub-042,HI,8,400,concatenate,,,,0.08550109711396205,0.02054457353477013,0.06495652357919192,True
sub-042,HI,8,400,concatenate,,,,0.07531766346465026,0.022347195815209015,0.052970467649441244,True
