subject,group,trial,attend_side,difficulty,score,r_att,r_ign,delta_r,correct
sub-024,NH,sub024/target/t022.wav,attendleft,25.0,100.0,0.0797062116980953,0.1038706691410427,-0.0241644574429474,False
sub-024,NH,sub024/target/t023.wav,attendleft,23.0,100.0,0.13920720125394975,0.06485756482692086,0.0743496364270289,True
sub-024,NH,sub024/target/t024.wav,attendright,24.0,100.0,0.176525017491606,0.023071434367879576,0.15345358312372642,True
sub-024,NH,sub024/target/t026.wav,attendleft,24.0,100.0,0.15570399043468208,0.018882938666523894,0.13682105176815818,True
sub-024,NH,sub024/target/t028.wav,attendright,25.0,100.0,0.15293020022223838,0.07834397078468906,0.07458622943754932,True
sub-024,NH,sub024/target/t029.wav,attendright,25.0,100.0,0.03582874000402755,0.0508170321213498,-0.014988292117322256,False
sub-024,NH,sub024/target/t032.wav,attendleft,25.0,100.0,0.08100988211138566,0.04655171667358057,0.03445816543780508,True
sub-024,NH,sub024/target/t033.wav,attendleft,25.0,100.0,0.1660042397095669,0.0021680959300664393,0.16383614377950045,True
sub-024,NH,sub024/target/t034.wav,attendright,25.0,100.0,0.10165650494076499,0.04094002947291629,0.060716475467848696,True
sub-024,NH,sub024/target/t035.wav,attendright,25.0,100.0,0.13740339716522168,0.08239896340456043,0.05500443376066125,True
sub-024,NH,sub024/target/t036.wav,attendleft,25.0,100.0,0.15658809415507055,0.03157901588708703,0.12500907826798352,True
sub-024,NH,sub024/target/t038.wav,attendleft,50.0,75.0,0.047002178267357135,0.06359972830645036,-0.016597550039093224,False
sub-025,NH,sub025/target/t002.wav,attendleft,57.0,100.0,0.0876980809190844,0.10720291097683071,-0.01950483005774631,False
sub-025,NH,sub025/target/t004.wav,attendright,67.0,100.0,0.13662328028976664,0.04711629792798423,0.08950698236178241,True
sub-025,NH,sub025/target/t005.wav,attendright,72.0,75.0,0.1704232139159816,0.06656522770140863,0.10385798621457296,True
sub-025,NH,sub025/target/t007.wav,attendleft,64.0,100.0,0.16032631368867042,0.07183058903795064,0.08849572465071978,True
sub-025,NH,sub025/target/t009.wav,attendright,44.0,100.0,0.06922817752726941,0.007835888420800968,0.06139228910646844,True
sub-025,NH,sub025/target/t010.wav,attendright,54.0,100.0,0.18444274049495216,0.041197989742553814,0.14324475075239834,True
sub-025,NH,sub025/target/t011.wav,attendright,46.0,100.0,0.11760569577215071,0.06345451191286341,0.0541511838592873,True
sub-025,NH,sub025/target/t012.wav,attendleft,39.0,100.0,0.17084413735269657,0.04039005262467184,0.13045408472802472,True
sub-025,NH,sub025/target/t014.wav,attendright,76.0,100.0,0.15627924595361586,0.08013629705004595,0.07614294890356992,True
sub-025,NH,sub025/target/t015.wav,attendright,52.0,100.0,0.24757998863935077,0.0726040684454748,0.17497592019387598,True
sub-025,NH,sub025/target/t017.wav,attendright,70.0,100.0,0.0732157127597443,0.12823222644923887,-0.055016513689494576,False
sub-025,NH,sub025/target/t018.wav,attendleft,75.0,100.0,0.16980897959878738,0.09032187640553532,0.07948710319325206,True
sub-025,NH,sub025/target/t020.wav,attendright,39.0,100.0,0.3255964857662781,0.0776917344248143,0.24790475134146378,True
sub-025,NH,sub025/target/t021.wav,attendleft,35.0,100.0,0.24776119257523405,0.04232769726727624,0.2054334953079578,True
sub-025,NH,sub025/target/t023.wav,attendleft,61.0,100.0,0.18783335916345872,0.07356856745705527,0.11426479170640345,True
sub-025,NH,sub025/target/t024.wav,attendleft,39.0,100.0,0.15495495886897295,0.05331419467619243,0.10164076419278052,True
sub-025,NH,sub025/target/t026.wav,attendright,55.0,100.0,0.12010821252053087,0.01836713878415156,0.1017410737363793,True
sub-025,NH,sub025/target/t027.wav,attendleft,35.0,100.0,0.07474468273443513,0.058774143863574664,0.015970538870860466,True
sub-025,NH,sub025/target/t030.wav,attendleft,41.0,75.0,0.13702579214385427,0.05364486145576096,0.08338093068809331,True
sub-025,NH,sub025/target/t032.wav,attendright,42.0,100.0,0.07775500316893245,0.007877792685285205,0.06987721048364726,True
sub-025,NH,sub025/target/t033.wav,attendleft,40.0,100.0,0.13165778442378148,0.028976133930952757,0.10268165049282872,True
sub-025,NH,sub025/target/t034.wav,attendleft,82.0,100.0,0.0964634693704458,0.0399700210561883,0.0564934483142575,True
sub-025,NH,sub025/target/t035.wav,attendleft,78.0,100.0,0.16530039432670704,0.12964676933646327,0.03565362499024377,True
sub-025,NH,sub025/target/t036.wav,attendright,44.0,100.0,0.09861647420410778,0.15457424447055085,-0.055957770266443066,False
sub-025,NH,sub025/target/t038.wav,attendright,58.0,75.0,0.31578639087795923,0.029112419083118745,0.2866739717948405,True
sub-025,NH,sub025/target/t039.wav,attendleft,66.0,100.0,0.2156515866902069,0.016052147070665837,0.19959943961954107,True
sub-025,NH,sub025/target/t040.wav,attendright,77.0,75.0,0.18344321927644622,0.005639454084415575,0.17780376519203064,True
sub-025,NH,sub025/target/t042.wav,attendleft,57.0,100.0,0.18840942337912667,0.21411387309821095,-0.025704449719084282,False
sub-025,NH,sub025/target/t044.wav,attendleft,75.0,75.0,0.02207172544770058,0.01995737685760212,0.002114348590098458,True
sub-025,NH,sub025/target/t045.wav,attendright,55.0,100.0,0.11119887116261014,0.06294991954875057,0.04824895161385957,True
sub-025,NH,sub025/target/t046.wav,attendright,45.0,100.0,0.1520974344147644,0.03308443275234764,0.11901300166241675,True
sub-025,NH,sub025/target/t048.wav,attendleft,44.0,100.0,0.0984716719993282,0.06932982331219345,0.02914184868713475,True
sub-026,NH,sub026/target/t003.wav,attendright,0.0,100.0,0.08610947045257496,0.04529508958416683,0.04081438086840813,True
sub-026,NH,sub026/target/t004.wav,attendright,0.0,100.0,0.06034937501679114,0.08804192285967492,-0.02769254784288378,False
sub-026,NH,sub026/target/t005.wav,attendright,0.0,100.0,0.020740828540907735,0.10543051173939683,-0.08468968319848909,False
sub-026,NH,sub026/target/t006.wav,attendleft,0.0,75.0,0.02484110618809382,0.13757690115493573,-0.11273579496684191,False
sub-026,NH,sub026/target/t007.wav,attendleft,0.0,100.0,0.020394236462735908,0.10897736358985977,-0.08858312712712385,False
sub-026,NH,sub026/target/t008.wav,attendleft,0.0,100.0,0.11240919844727247,0.0027984652261595737,0.1096107332211129,True
sub-026,NH,sub026/target/t009.wav,attendleft,0.0,100.0,0.009157666694272768,0.06669043243755247,-0.05753276574327971,False
sub-026,NH,sub026/target/t011.wav,attendright,0.0,75.0,0.05469619846692511,0.032007444919205943,0.022688753547719168,True
sub-026,NH,sub026/target/t014.wav,attendleft,18.0,75.0,0.1313361230277772,0.11597042704857272,0.01536569597920448,True
sub-026,NH,sub026/target/t016.wav,attendright,17.0,100.0,0.11219982705236463,0.027050459393990145,0.08514936765837448,True
sub-026,NH,sub026/target/t018.wav,attendleft,17.0,100.0,0.06088139542248118,0.02476705884214181,0.03611433658033937,True
sub-026,NH,sub026/target/t019.wav,attendright,18.0,100.0,0.0703870271993514,0.04786606821133011,0.02252095898802129,True
sub-026,NH,sub026/target/t020.wav,attendright,17.0,100.0,0.015344945185220928,0.04568197250958623,-0.0303370273243653,False
sub-026,NH,sub026/target/t021.wav,attendright,15.0,100.0,0.138523715420724,0.08152474258271465,0.05699897283800935,True
sub-026,NH,sub026/target/t022.wav,attendright,15.0,100.0,0.10835595757700528,0.11611194189250613,-0.007755984315500855,False
sub-026,NH,sub026/target/t024.wav,attendleft,15.0,100.0,0.0291934153578905,0.024964901020583227,0.004228514337307272,True
